,label,index
0,0,"[4666, 28, 11459, 14, 978, 6, 4066, 14, 97, 3160, 249, 9, 5, 78, 2, 2, 2, 13, 331, 102, 267, 6, 102, 207, 8, 53, 2]"
1,0,"[4, 799, 1481, 33, 54, 70, 2, 4, 608, 7, 3880, 6, 1377, 19090, 92, 4, 232, 157, 175, 2045, 2, 4, 2853, 33, 700, 16, 141, 2, 4, 477, 3, 12, 10, 15, 81, 7, 195, 188, 3, 10, 4, 301, 2]"
2,0,"[12, 152, 127, 16, 62, 1185, 13, 40, 2783, 42, 32, 2560, 68, 11094, 3, 5443, 6, 888, 7, 4, 18144, 213, 361, 913, 1424, 9, 5, 353, 6, 743, 1596, 2]"
3,0,"[5, 4174, 3, 11721, 18842, 85, 9613, 253, 37, 4, 877, 7, 3161, 6, 8351, 4705, 9, 4, 6193, 290, 654, 2]"
4,1,"[47, 13, 464, 766, 45, 15130, 130, 10, 238, 46, 15, 14, 64, 465, 14351, 3, 26, 5159, 281, 2]"
5,0,"[275, 13, 11, 2987, 43, 2836, 631, 58, 556, 32, 361, 21, 745, 2]"
6,1,"[20, 28, 2501, 16, 5, 1328, 3, 19, 20, 58, 138, 173, 19, 20961, 7964, 16, 4, 385, 938, 4220, 8, 4, 266, 2]"
7,1,"[48, 6, 22, 226, 372, 8, 467, 29, 200, 16, 8, 22, 1142, 725, 455, 25, 13339, 30, 3, 19, 20, 5722, 4540, 2]"
8,1,"[4, 4286, 14862, 4, 3240, 7, 460, 6, 57, 6, 4, 2160, 10, 18276, 15, 2924, 3, 4792, 6, 1132, 2]"
9,1,"[9493, 6, 34, 14561, 33, 4, 5778, 3, 34, 2679, 8271, 101, 25, 10790, 6, 147, 25, 2634, 13260, 94, 24, 17689, 3, 18341, 7605, 18769, 2, 24]"
10,1,"[223, 23, 862, 1107, 72, 10, 1367, 1824, 766, 1169, 8, 4, 9450, 7890, 7, 1353, 739, 6, 716, 9, 1071, 527, 2]"
11,0,"[6736, 121, 42, 284, 68, 12, 300, 8, 32, 5, 13051, 973, 9, 8395, 9429, 17, 1138, 504, 60, 5, 1185, 3, 16924, 5667, 907, 2]"
12,0,"[4, 912, 337, 46, 63, 5, 5553, 5610, 8, 398, 1633, 504, 170, 157, 37, 10581, 4046, 35, 20602, 737, 702, 567, 15, 6461, 7, 164, 885, 65, 37, 234, 2]"
13,1,"[4, 950, 28, 556, 2850, 8, 22, 6, 582, 22, 49, 2070, 2]"
14,1,"[140, 3, 9, 1193, 137, 3, 9310, 505, 566, 9280, 29, 4498, 15292, 30, 3, 4, 3168, 7051, 29, 21008, 13455, 30, 3, 6, 503, 790, 866, 29, 1408, 14411, 30, 3, 243, 15, 5, 201, 27, 784, 3, 128, 21, 5, 393, 17, 23, 77, 3, 26, 123, 32, 4, 9036, 7, 47, 332, 2]"
15,0,"[5, 12890, 17658, 25, 5, 1516, 26, 123, 51, 173, 295, 8, 951, 19, 145, 28, 4, 8457, 6, 1251, 8, 322, 120, 34, 446, 2]"
16,1,"[45, 11883, 6005, 209, 2087, 7, 4, 610, 12998, 3, 20, 28, 4, 941, 2455, 3939, 25, 14, 4272, 9, 371, 8, 763, 4, 4314, 6, 44, 1703, 14, 396, 2]"
17,1,"[249, 3, 9, 14, 5069, 297, 3, 20, 2676, 5, 1744, 8, 110, 3, 3358, 14, 506, 19, 2405, 4, 459, 7, 14, 1086, 2]"
18,0,"[4, 52, 6, 108, 33, 1567, 1167, 1462, 114, 2]"
19,0,"[20505, 869, 5, 72, 13, 11, 37, 234, 1450, 6, 6681, 715, 71, 2944, 3, 223, 18721, 780, 2]"
20,0,"[40, 245, 42, 284, 569, 8, 5029, 4, 27, 11, 6224, 673, 6, 855, 12, 14002, 60, 32, 20111, 25, 5, 12819, 726, 7, 1265, 2, 60, 139, 2]"
21,1,"[14, 1875, 10, 5, 6957, 13513, 449, 24, 5110, 24, 2]"
22,1,"[2694, 3, 3495, 3, 1922, 3, 4990, 6, 3796, 230, 646, 13, 41, 805, 1896, 23, 629, 174, 171, 31, 194, 104, 2]"
23,0,"[4, 1282, 1060, 10, 5064, 6, 1825, 65, 6, 5, 426, 4328, 8, 95, 21, 5, 1615, 6, 3, 10952, 3, 15950, 3, 4691, 2]"
24,1,"[41, 47, 1559, 7231, 507, 82, 18274, 21, 8, 5, 2455, 324, 4470, 2, 1982, 2]"
25,1,"[4, 2647, 7, 5, 218, 183, 1755, 495, 6093, 20450, 29, 8118, 5672, 30, 1818, 2758, 6, 1839, 601, 316, 3, 512, 4, 5899, 2]"
26,0,"[1338, 7, 14, 340, 938, 46, 3, 19, 13, 11, 264, 7, 5, 477, 249, 55, 12, 160, 32, 9, 170, 27, 94, 8672, 1393, 264, 55, 2225, 2]"
27,1,"[41, 58, 44, 398, 22, 18, 2839, 17, 195, 395, 2]"
28,0,"[474, 289, 126, 7932, 4418, 2340, 4, 4410, 9, 651, 3, 15, 5855, 1147, 2]"
29,0,"[61, 3001, 154, 281, 25, 4, 1013, 6, 17651, 75, 6, 4400, 75, 2]"
30,0,"[4, 1575, 33, 62, 5495, 21, 3, 12, 10, 261, 8, 19257, 381, 656, 9, 36, 1631, 2]"
