,review,sentiment
0,we booked to stay at this hotel via a travel agent who told us it had a flat entrance and a lift she failed to mention the steps about to actually get to the lift the hotel staff were very efficient friendly and helpful and let me use the phone to try to sort out the mistake another hotel could be found nearby so we ended up is a lovely hotel and so convenient for the museums etc the room we had was a bedded room large and roomy with comfy beds and the most comfortable pillow i have ever laid my head on smart shower room and quality toiletries we got a complementary welcome drink voucher for the bar,1
1,we stayed for nights had rooms booked staff are friendly and helpful our person was very very good knowledgable efficient friendly room sizes were of the rooms one had a very small short shower if over you would have a problem other room air conditioning not working well had an odor and thus we had to open up the windows thankfully it was cool during our stay location is close to amsterdam but away enough to be quiet and more residential close by bakery was great for breakfast simon something albert heijn market close by as well for snacks found a wonderful laundrymat nearby powders laundrette they have self service machines and will also do your laundry for a very reasonable price first time i have ever had my laundry done by someone else while traveling and it was marvelous and well worth it,1
2,very nice quite hotel located close enough to dam and various other sights very clean definately will be back again the staff very helpful definately will recommend this nice tidy hotel for travellers for a quite stay,1
3,we stayed here for nights and were disappointed there was nothing we could fault about this arrived right in the middle of the gay pride parade unaware it was on and i was a little worried however the mercure is tucked away and was very safe and quiet breakfast was included which was awesome normally free breakfast is just continental however was pleasantly surprised to see eggs bacon and sausage too you wo be disappointed as there was plenty of breakfast hired bikes here which cost about a day was convienent for sized rooms and bathroom plenty of space for our luggage too beds are comfy good location walk to the heineken experience and maybe to mussuems to the centre staff were really friendly and all spoke english which was very helpful for definitely stay here again,1
5,great location quaint bedroom with nice relaxing breakfast friendly staff through the stay rooms very clean the room did not have air conditioning but with the windows open and room stayed comfortable would recommend this place to stay,1
6,the hotel nadia is in an excellent location very close to all the history and sites of amsterdam the room was clean and plain with an incredible view of the canal and westkirk the staff was so nice even helping with our laundry for a small extra fee and after two weeks traveling europe i was so grateful do miss the charming breakfast room and great breakfast one note very steep stairs up to the lobby and rooms are not for everyone but they did bring our luggage up and down the stairs for us which was very nice we would stay there again in a,1
7,we stayed here july we paid for a standard room and were upgraded to one with a view over the canal the room was very clean and small which we expected but had plenty of well designed storage and shelves etc the windows opened but the location is quite noisy at night there was no air conditioning but a good sized fan was provided as hotel oozes a local staff were always very helpful knowledgeable and friendly as many point out the stairs on entering from the street up to the reception and rooms are a sight to behold steep curved and narrow with short steps oxygen is not provided the staff at the hotel always offer to carry everyone bags from street level to room and back out if you want them to so the stairs are not really a major issue the only problem would be if you ca physically cope with difficult was continental but always kept well stocked as people came and location is perfect for a city centre stay it is within easy walking distance minutes max of all the city centre attractions there are many very nice bars and restaurants within a short you want a basic reasonably priced city centre hotel with of local character and can climb steep stairs this should be on your list we have no hesitation in recommending it,1
8,we stayed here my wife and i booked a standard room for night it was the middle of the week and they upgraded us to a balcony room we probably would have booked this room had we been there more than one night it was amazing if a little small the balcony was nice had a great view of the canal and allowed us a nice cool place to people watch there were a few quirks here when you leave you leave your key with the front desk and pick it up when you get back i assume this is so you do lose the physical key while visiting the city smart the stairs to the rooms are a bit steep and narrow i a big guy and still made it just fine even loaded with bags the bed was comfortable but not overly we loved it the staff were nice and friendly and spoke perfect english as do many many people here the location was close enough to everything we wanted to see so we could walk everywhere i would highly recommend this hotel and would love to return if we ever make it back to amsterdam,1
9,this is a very small hotel staff are very you have to be quite fit to go up all the stairs with your luggage i also missed breakfast as i was mins too room was small but clean and the balcony was hotel is in a very good location,1
10,this hotel has it all it is historic yet modern it is beautiful in design and has artwork worthy of a museum the staff is friendly and attentive but not intrusive we discovered no major flaws in the hotel operation the front desk and the rest of the staff were great the restaurants and lounge were wonderful with superb food and great service we would not hesitate to stay at the grand on future visits to amsterdam,1
