,review,sentiment
0,we visited athens and stayed nights we were a party of adults and children we received lovely large connected rooms the beds were huge and comfy the bathroom was beautiful the hotel seems new and has a modern styling everything went well and the staff were very warm welcoming and helpful the hotel is located on a main street and there were many coffee shops and bakeries in the area across the road there is even a cinema the hotel is located about a minute walk to the acropolis we enjoyed our stay a lot and will recommend it to others,1
1,we booked this hotel on short notice as it came up first on we thought it would be close to town and we could walk to the main attractions as we only had a short stay in athens this was not the case and it was very complicated to get anywhere without a taxi and most of the drivers do not understand english the hotel is situated near a district so that should be taken into consideration very difficult to cross the road as it is a four lane highway out the front with a fence in the midway the hotel is very new but very badly designed and finished off very small lifts to take you to the rooms so it takes two trips if you have a lot of luggage we ordered some food from the restaurant and bought it up to the room unfortunately my food had an eye lash in it generally the staff was very friendly though check in did take some time which i do not really appreciate the hotel finishes and location lets it down i would not recommend or stay here again,0
2,the hotel is brand new but it looks like it was adapted from a business building and they missed some details the staff was very friendly but i believe they need more experience the was free and good but a bit annoying to setup every time you return to the room i found the location just a few minutes walk to some busy areas with restaurants and bars and near business and metro stations,1
3,just recently visited city and i stayed here for with my mom and my two kids for my birthday and i was amazed with this hotel it great service as soon as we walked in the hotel we were welcomed by the staff who were super polite and friendly they took really good care of us and were really proactive the interior decor is top quality with well furnished marble floors my daughters absolutely loved the place and my mum was glad how the beds were set up granted here age she was happy with the comfy bed and how spacious the rooms location is decent and local shops are easy to access good cafes just around the corner wish i stayed,1
4,this was definitely not grand looks nice on the outside but very dirty on the inside this has to be the worst service i have received in greece breakfast was the worst and even when i stayed in cheaper hotels the breakfast was better cutlery and cups were also dirty got abused by the night manager that stunk and needed discinfectant and a bath the managers did care as he is so busy anyway avoid this place,0
5,we had the displeasure of staying at his hot er place you could call it while on a transfer from athens to beirut we had to walk up several flights of stairs and wake the reception guy up so he could check us in he checked us in topless which was in our early expectations of the place the room was cheap and big however the next day we discovered several cockroaches were on the ground beside us when we woke up we had a fan to help air the room but to be honest we were happy to leave the room at any chance we got we were planning to stay there again on our return transfer back to dublin but we cancelled and booked another place which was a lot better avoid if you can unless you are happy sharing with uninvited cockroaches otherwise you love it,0
6,just like the title the hotel is horrible nothing of hotel would be much more a pension dirty sheets and torn floor full of hair employee who does not speak english inserted in street also very dirty,0
7,was shocked at the state of the hotel compared to photos on site all furnishings are run down and broken elevator scary and not worth the wait was happy to climb the stairs there no bed spreads just one thin sheet and a paper thin mattress with a one inch pillow toilet disgusting has seen bleach in what looks like years shower basin too small for my partner to fit in water goes everywhere we where very rudely informed to pay an extra per night for air conditioning which is so loud it sounds like a helicopter landing all night long the cafe is permanently closed no fridge or toiletries no phone or kettle or any ammenities whatsoever in room when i politely asked if there was a share fridge to put drinks because it stinking hot was rudely told no i could sleep due to the noise outside very unsavoury area lots of homeless people and beggars outside all night long it also right next door to a betting venue for more noise in our room there are bed bugs and our view is of a burnt out building next door under no circumstances stay here,0
8,the hotel building looks very nice from outside but not comfortable from floor parket inside the rooms need to be changed every step you make has a different bathrooms are very small their is no air conditioning in the corrdidors it was like a sawna when you walk to reach your old elevators it takes to much time until you catch used too use the stairs instead of waiting for the rude receptionists,0
9,welcoming staff good location pool was a very nice addition since it was degrees in july rooms a bit tired but otherwise all are few good restaurants near by and lovely shopping street breakfast was return again,1
10,i had the pleasure of staying here for a weekend at the beginning of july the hotel staff were very helpful great breakfast amazing bar decor clean and fully stocked rooms with everything you can possibly need for a great time the swimming pool and gym area is out of this world the hotel location is in a beautiful setting with close by bars quality shops and a min walk to the metro i m looking forward to going back and staying at this hotel luxury doesn t even begin to describe how wonderful it is to stay here,1
11,perfect location for business area in the telecom industry but so far away from business world class standards to host important guest for meeting room high standard gourmet meals and on the palace is not so clean and quite for business travelers that regular to hotels,0
12,beautifully located building with restaurants shops and a park close by the rooms remind me of old italian hotels in bologna or parma rooms are spacious airco works well but furniture is somewhat breakfast is basic and smiles are hard to come by,1
13,rooms are old and barely clean but guess what this is no the problem i am a very frequent traveler and i have never seen such an impolite staff i mean all staff from housekeeper till hotel owner manager are way above rude except one guy in the reception they think they are managing a prison they shout at guests and lifeguard scare kids i was booking for nights but i had to leave on the back of a fight with super rude hotel owner i thought it was better to cancel the vacation and not to live with the stress of a bad room managed by impolite people btw pictures on the rooms on website have nothing to do with reality take my word avoid at all cost,0
14,hotel is very clean i booked in the third floor and room was up to the standard it worth every penny paid for staff is the is very helpful from reservation reception waiters and housekeeping breakfast was good and pool bar very professional towels and bed sheet are very clean free beach towel available also,1
15,the hotel was reasonable the rooms on higher floors have a nice view on the sea the rooms were shabby but properly cleaned the breakfast was not wow a small hotel located at walking distance from glyfada center,1
16,first of all i would not rate this as four star especially as the pool was closed for alll of our night stay hotel is situated overlooking the sea with beautiful view if you can overlook the busy road which separates hotel from beach rooms and breakfast were fine and the staff extremely helpful especially alexandra on the front desk the best thing about this hotel is if you use it to stay it took us just under an hour to get from our room taxi ride check in and into our stateroom on board maybe we just st had a good run but would definitely recommend it to other cruisers,1
18,first the positives very clean hotel and beautifully reception that it goes down worst quality breakfast we have had in an hotel and we travel only went in there twice during our day stay and the best we could manage was some melon a toasted croissant with a cup of lukewarm boiled eggs some strange mix of egg and tomato that looked terrible what was described as peach compote was tinned fruit cocktail with a very funny colour supervised by the most unfriendly and rude attitude was could go on and rooms were on the side of a very noisy gentlemans club pool only has sunbeds and when we went at it was closed off rooms and balcony very would not recommend glyfada much nicer down the the palmyra hotel,0
19,booked this based on the beautiful best western we used in london nothing like it do trust brand name terrible area did feel save old shabby hotel no help with luggage up to room smallest bathroom i ever experienced only thing that was okay was the breakfast wo be back there,0
20,i booked six weeks ahead made sure that i communicate our needs by email twin beds two single and good view non smoking arrived late in the evening checked in but was shocked with the room so smelly double bed no view the street was so dirty with the same price rate you can rent better rooms in the same area omonia square such as chic hotel dorian inn hotel,0
22,my mother and i chose this hotel for the end of our athens trip due to the price the hotel itself was fine very courteous and helpful staff moderately comfortable mattresses clean room the room was very much no frills with tile floor throughout and a miniature bathroom this being said location of this hotel is in a very unsafe block of town it is fairly close to a main street but i would never walk down those streets in the night and was uncomfortable in the day the closest underground metro station omonia is the most dangerous in athens we did know this about the area talking to many locals in restaurants and uber drivers confirmed how unsafe this area is if this hotel were transplanted to a safer street it would be the perfect basic affordable hotel however based on the location we do not recommend,0
23,this is one of the worst hotels i have ever stayed at from entering the lobby the first thing that hots you is the horrific smell the entire hotel smells like sewage and mold if you have the fortune to be in a room with an ocean view you will not be able to sleep because of the noise from the street below we had to by earplugs to be able to get at least a bit of sleep it is very dirty in the rooms the last day the cleaning lady did bother to enter out room in order to take a shower you have to enter the bathroom without inhaling thought the nose the toilet seat was the price of a night we did want you go into the hotel if there were any free rooms anywhere else we would have changed the hotel but unfortunately in july everything in athens is booked,0
25,location was kind of bad the area around the hotel was not good a lot of homeless people guys taking drugs i did feel safe metro was near by room was bit noisy in the shower you got only super hot water when it was hot outside and super cold when it was bit cold outside so it was inpossible to take shower service was good,0
