date,hotelLocation,hotelName,hotelStars,hotelUrl,review,score,title,url,userId
"July 31, 2017","Noorderstraat 46, 1017 TV Amsterdam, The Netherlands"," Mercure Amsterdam Centre Canal District ",4.0,https://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,"We booked to stay at this hotel via a travel agent, who told us it had a flat entrance and a lift, She failed to mention the steps (about 8) to actually get to the lift. The hotel staff were very efficient, friendly and helpful, and let Me use the phone to try to sort out the mistake. Another hotel couldn't be found nearby, so We ended up staying.It is a lovely Hotel and so convenient for the Museums etc, The room We had was a 3 bedded room, large and roomy, with comfy beds and the most comfortable pillow I have ever laid My head on, smart shower room and quality toiletries. We got a complementary welcome drink voucher for the bar.",5,Lovely Hotel *Not wheelchair accessible*,https://www.tripadvisor.com/ShowUserReviews-g188590-d229124-r507344040-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,JanJan22_12_12
"August 9, 2017","Noorderstraat 46, 1017 TV Amsterdam, The Netherlands"," Mercure Amsterdam Centre Canal District ",4.0,https://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,"We stayed for 3 nights, had 2 rooms booked. Staff are friendly and helpful. Our check-in person was very very good (knowledgable, efficient, friendly) Room sizes were OK. Of the 2 rooms, one had a very small (short) shower. If over 5'2'' you would have a problem. Other room's air conditioning not working well (had an odor and thus we had to open up the windows. Thankfully it was cool during our stay). Location is close to 'center Amsterdam', but away enough to be quiet and more residential. Close by bakery was great for breakfast (Simon something). Albert Heijn market close by as well for snacks etc.We found a wonderful laundrymat nearby (Powders Laundrette). They have self service machines and will also do your laundry for a very reasonable price. First time I have ever had my laundry done by someone else while traveling, and it was marvelous and well worth it!",4,"Quiet, near trams",https://www.tripadvisor.com/ShowUserReviews-g188590-d229124-r510781447-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,Pneezy
"August 9, 2017","Noorderstraat 46, 1017 TV Amsterdam, The Netherlands"," Mercure Amsterdam Centre Canal District ",4.0,https://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,Very nice quite hotel located close enough to dam and various other sights very clean definately will be back again the staff very helpful definately will recommend this nice tidy hotel for travellers for a quite stay,5,Very nice quite clean hotel ,https://www.tripadvisor.com/ShowUserReviews-g188590-d229124-r510646977-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,Alper M
"August 10, 2017","Noorderstraat 46, 1017 TV Amsterdam, The Netherlands"," Mercure Amsterdam Centre Canal District ",4.0,https://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,"We stayed here for 4 nights and weren't disappointed. There was nothing we could fault about this hotel.We arrived right in the middle of the Gay Pride parade (unaware it was on) and I was a little worried, however the mercure is tucked away and was very safe and quiet. Breakfast was included which was awesome. Normally free breakfast is just continental however was pleasantly surprised to see eggs, bacon and sausage too!! You won't be disappointed as there was plenty of breakfast options.We hired bikes here which cost about 18€ a day, was convienent for us.Decent sized rooms and bathroom, plenty of space for our luggage too. Beds are comfy. Good location - 5min walk to the Heineken experience and maybe 10mins to mussuems. 20mins to the centre. Staff were really friendly and all spoke English, which was very helpful for us.Would definitely stay here again :)",5,Great Hotel,https://www.tripadvisor.com/ShowUserReviews-g188590-d229124-r511077759-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,Karen T
"July 26, 2017","Noorderstraat 46, 1017 TV Amsterdam, The Netherlands"," Mercure Amsterdam Centre Canal District ",4.0,https://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,"This hotel is not on a main road. It is located in what appears to be a residential area close to schools and cafes. It is also close to the tram heading into central station (though the tram stops were a bit of a walk when we were were there due to road works on the main road).While this is called a ""Mercure"" to me it was more like an ""Ibis"" in Australia including the size and layout of rooms and casual reception. Unfortunately the price we paid was not an Ibis price....While the room was clean, the rooms and bathrooms were very small. The free internet was very slow (much slower than standard Accor free wifi)I am Gold Accor Plus member however the receptionist was not interested in my card. I assume that I will have to follow up and make sure my points are allocated.The reception was also very little help when I asked for a boarding pass to be printed (I often just email the boarding pass to hotel reception and have never had a hotel say no - until now). I was told that I had to come down and print it myself, which meant that it took 15 minutes rather than 1 (it seems the computer in the lobby is purely for data collection purposes as you need to enter names and emails etc. just to print out a boarding pass). The hotel restaurant also tried to charge my son €5 for a small cup of ice (about 8 cubes) that fortunately when we checked out the receptionist said we didn't have to pay).NOTE re mobility: There is no lift accessible on entrance level (it is either about 8 stairs stairs up or 8 stairs down to access the lift).Environmental watch: Despite environmental cards in the bathroom alerting you to save water, our towels that were hung up each day as requested, were replaced two of the three days of our stay. There also did not appear to be any means of recycling paper and plastic. The snap off / screw on lids in the toiletries did not work very well meaning that the bottles were hard to reseal. p.s. The Accor Map was appreciated however at least 6 of the marked tram stops were in different locations than what was marked.",3,Well located hotel if you plan to explore central Amsterdam but want to avoid the red light and central station areas.,https://www.tripadvisor.com/ShowUserReviews-g188590-d229124-r506036171-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,EatWellEatSafe
"July 23, 2017","Raadhuis Straat 51, 1016 DD Amsterdam, The Netherlands"," Hotel Nadia ",2.0,https://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,"Great location, quaint bedroom with nice relaxing breakfast. Friendly staff through the stay. Rooms very clean. The room did not have air conditioning but with the windows open and room stayed comfortable. Would recommend this place to stay.",5,Great place to stay,https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r504888496-Hotel_Nadia-Amsterdam_North_Holland_Province.html,Oakley0
"July 22, 2017","Raadhuis Straat 51, 1016 DD Amsterdam, The Netherlands"," Hotel Nadia ",2.0,https://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,"The hotel Nadia is in an excellent location very close to all the history and sites of Amsterdam. The room was clean and plain with an incredible view of the canal and Westkirk. The staff was so nice, even helping with our laundry for a small extra fee--and after two weeks traveling Europe I was so grateful. Don't miss the charming breakfast room and great breakfast. One note: Very steep stairs up to the lobby and rooms are not for everyone, but they did bring our luggage up and down the stairs for us, which was very nice. We would stay there again in a heartbeat.https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r35505380-Hotel_Nadia-Amsterdam_North_Holland_Province.html#",5,Lovely stay in Amsterdam,https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r504619029-Hotel_Nadia-Amsterdam_North_Holland_Province.html,Lisa J
"August 1, 2017","Raadhuis Straat 51, 1016 DD Amsterdam, The Netherlands"," Hotel Nadia ",2.0,https://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,"We stayed here July 2017. We paid for a standard room and were upgraded to one with a view over the canal. The room was very clean and small (which we expected) but had plenty of well designed storage and shelves etc. The windows opened but the location is quite noisy at night. There was no air conditioning but a good sized fan was provided as standard.The hotel oozes a local character.The staff were always very helpful, knowledgeable and friendly. As many point out the stairs on entering from the street up to the reception and rooms are a sight to behold (steep, curved and narrow with short steps - oxygen is not provided). The staff at the hotel ALWAYS offer to carry everyone's bags from street level to room and back out if you want them to - so the stairs are not really a major issue. The only problem would be if you can't physically cope with difficult stairs.Breakfast was 'basic continental' but always kept well stocked as people came and went.The location is perfect for a city centre stay. It is within easy walking distance (20-30 minutes max) of all the city centre attractions. There are many very nice bars and restaurants within a short walk.If you want a basic reasonably priced city centre hotel with 'oodles' of local character and can climb steep stairs this should be on your list! We have no hesitation in recommending it.",5,Perfect location for city centre stay,https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r507780581-Hotel_Nadia-Amsterdam_North_Holland_Province.html,nigcastle
"July 26, 2017","Raadhuis Straat 51, 1016 DD Amsterdam, The Netherlands"," Hotel Nadia ",2.0,https://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,"We stayed here 7/17/17. My wife and I booked a standard room for 1 night. It was the middle of the week and they upgraded us to a balcony room. We probably would have booked this room had we been there more than one night. It was amazing, if a little small. The balcony was nice, had a great view of the canal, and allowed us a nice cool place to people watch. There were a few quirks here. When you leave, you leave your key with the front desk and pick it up when you get back. I assume this is so you don't lose the physical key while visiting the city (smart). The stairs to the rooms are a bit steep and narrow. I'm a big guy (6'4) and still made it just fine, even loaded with bags. The bed was comfortable, but not overly lavish.Overall, we loved it. The staff were nice and friendly and spoke perfect English (as do many many people here). The location was close enough to everything we wanted to see so we could walk everywhere. I would highly recommend this hotel and would love to return if we ever make it back to Amsterdam.",5,"Amazing location, lovely room",https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r505846625-Hotel_Nadia-Amsterdam_North_Holland_Province.html,Jake4102
"August 1, 2017","Raadhuis Straat 51, 1016 DD Amsterdam, The Netherlands"," Hotel Nadia ",2.0,https://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,This is a very small hotel. Staff are very friendly.But you have to be quite fit to go up all the stairs with your luggage. I also missed breakfast as I was 5 mins too late.The room was small but clean and the balcony was nice.The hotel is in a very good location.,4,Overnight stay.,https://www.tripadvisor.com/ShowUserReviews-g188590-d232493-r507832414-Hotel_Nadia-Amsterdam_North_Holland_Province.html,nigcastle
"July 11, 2017","Oudezijds Voorburgwal 197, 1012 EX Amsterdam, The Netherlands"," Sofitel Legend The Grand Amsterdam ",5.0,https://www.tripadvisor.com/Hotel_Review-g188590-d189389-Reviews-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,"This hotel has it all. It is historic yet modern. It is beautiful in design and has artwork worthy of a museum. The staff is friendly and attentive but not intrusive. We discovered no major flaws in the hotel operation. The front desk and the rest of the staff were great. The restaurants and lounge were wonderful, with superb food and great service WE would not hesitate to stay at The Grand on future visits to Amsterdam.",5,Magnificent hotel,https://www.tripadvisor.com/ShowUserReviews-g188590-d189389-r500962712-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,Louis H
"July 21, 2017","Oudezijds Voorburgwal 197, 1012 EX Amsterdam, The Netherlands"," Sofitel Legend The Grand Amsterdam ",5.0,https://www.tripadvisor.com/Hotel_Review-g188590-d189389-Reviews-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,"Our expected view of the canal was more a glimpse but as the staff had been so helpful in getting us into our suite really early I did not mind. The room was beautifully appointed and furnished. We found ourselves sleeping much longer than usual due to a combination of the peace and quiet of the hotel, the blackout curtains and the superbly comfortable bed. Service was exceptional from all staff members, particularly Paul, Thomas and Margeurite. Breakfast offers a wide selection.This is an historic hotel and its location is superb, as we could walk to most attractions. Amsterdam in summer is very crowded and busy but all this disappears as you turn off the street to the haven of the courtyard and the hotel buildings.",5,Calm refuge in the midst of busyness.,https://www.tripadvisor.com/ShowUserReviews-g188590-d189389-r504350547-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,Mendicus65
"July 12, 2017","Oudezijds Voorburgwal 197, 1012 EX Amsterdam, The Netherlands"," Sofitel Legend The Grand Amsterdam ",5.0,https://www.tripadvisor.com/Hotel_Review-g188590-d189389-Reviews-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,25 minutes for checking !!!No respect of Platinum member profit !!Room dirty and old Bathroom of 2 SM2 !!!!!And all of that for 400 eur !!! But the most terrible part is this hotel are not clean !!Will not come back,1,Terrible ,https://www.tripadvisor.com/ShowUserReviews-g188590-d189389-r501351435-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,jeromesh2001
"July 16, 2017","Oudezijds Voorburgwal 197, 1012 EX Amsterdam, The Netherlands"," Sofitel Legend The Grand Amsterdam ",5.0,https://www.tripadvisor.com/Hotel_Review-g188590-d189389-Reviews-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,"The location is close to everything. The service was excellent. Everyone was friendly and extremely helpful. The breakfast was great, full breakfast with a huge selection, they'll make anything you request. Our room was five stars, amazing. One of the best rooms we've ever stayed in, and we travel a lot. I would highly recommend this hotel.We also took the tour of the hotel and learned a lot about the history of the hotel.",5,Amazing Hotel in Amsterdam,https://www.tripadvisor.com/ShowUserReviews-g188590-d189389-r502640915-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,Beth K
