date,hotelLocation,hotelName,hotelStars,hotelUrl,review,score,title,url,userId
"July 10, 2017","142 Syngrou Avenue, Athens 17671, Greece"," Athenaeum Grand Hotel ",4.0,https://www.tripadvisor.com/Hotel_Review-g189400-d12525942-Reviews-Athenaeum_Grand_Hotel-Athens_Attica.html,"We visited Athens and stayed 3 nights. We were a party of 2 adults and 3 children. We received 2 lovely large connected rooms. The beds were huge and comfy. The bathroom was beautiful. The hotel seems new and has a modern styling. Everything went well and the staff were very warm, welcoming and helpful. The hotel is located on a main street and there were many coffee shops and bakeries in the area. Across the road there is even a cinema. The hotel is located about a 15-20 minute walk to the Acropolis. We enjoyed our stay a lot and will recommend it to others.",4,Lovely hotel,https://www.tripadvisor.com/ShowUserReviews-g189400-d12525942-r500449490-Athenaeum_Grand_Hotel-Athens_Attica.html,keren d
"July 15, 2017","142 Syngrou Avenue, Athens 17671, Greece"," Athenaeum Grand Hotel ",4.0,https://www.tripadvisor.com/Hotel_Review-g189400-d12525942-Reviews-Athenaeum_Grand_Hotel-Athens_Attica.html,"We booked this hotel on short notice as it came up first on hotels.com. We thought it would be close to town and we could walk to the main attractions as we only had a short stay in Athens. This was not the case and it was very complicated to get anywhere without a taxi, and most of the drivers do not understand English. The hotel is situated near a ´red-light´ district so that should be taken into consideration. Very difficult to cross the road as it is a four lane highway out the front with a fence in the midway. The hotel is very new but very badly designed and finished off. Very small lifts to take you to the rooms, so it takes two trips if you have a lot of luggage. We ordered some food from the restaurant and bought it up to the room. Unfortunately my food had an eye lash in it. Generally the staff was very friendly, though check in did take some time which I do not really appreciate. The hotel finishes and location, lets it down. I would not recommend or stay here again.",2,New but disappointing...,https://www.tripadvisor.com/ShowUserReviews-g189400-d12525942-r502233293-Athenaeum_Grand_Hotel-Athens_Attica.html,Sonja W
"July 23, 2017","142 Syngrou Avenue, Athens 17671, Greece"," Athenaeum Grand Hotel ",4.0,https://www.tripadvisor.com/Hotel_Review-g189400-d12525942-Reviews-Athenaeum_Grand_Hotel-Athens_Attica.html,"The hotel is brand new but it looks like it was adapted from a business building and they missed some details. The staff was very friendly but I believe they need more experience. The Wi-Fi was free and good but a bit annoying to setup every time you return to the room. I found the location OK. Just a few minutes walk to some busy areas with restaurants and bars, and near business and metro stations.",4,"Brand new, still lacks experience ",https://www.tripadvisor.com/ShowUserReviews-g189400-d12525942-r504826002-Athenaeum_Grand_Hotel-Athens_Attica.html,CarlosSoaresDeSousa
"July 18, 2017","142 Syngrou Avenue, Athens 17671, Greece"," Athenaeum Grand Hotel ",4.0,https://www.tripadvisor.com/Hotel_Review-g189400-d12525942-Reviews-Athenaeum_Grand_Hotel-Athens_Attica.html,"Just recently visited city and I stayed here for 5N with my mom and my two kids for my 50th birthday and I was amazed with this hotel it's great service. As soon as we walked in the hotel, we were welcomed by the staff who were super polite and friendly. They took really good care of us and were really proactive. The interior decor is top quality with well furnished marble floors. My daughters absolutely loved the place and My mum was glad how the beds were set up granted here age she was happy with the comfy bed and how spacious the rooms were.The location is decent and local shops are easy to access. Good cafes just around the corner. wish I stayed",5,Brand spanking new!,https://www.tripadvisor.com/ShowUserReviews-g189400-d12525942-r503192899-Athenaeum_Grand_Hotel-Athens_Attica.html,Carolj98023
"July 5, 2017","13 Odysseos Street, Athens 10436, Greece"," Rio Hotel ",3.0,https://www.tripadvisor.com/Hotel_Review-g189400-d267739-Reviews-Rio_Hotel-Athens_Attica.html,This was definitely not Grand! Looks nice on the outside but very dirty on the inside. This has to be the worst service I have received in Greece. Breakfast was the worst and even when I've stayed in cheaper hotels the breakfast was better. Cutlery and cups were also dirty. Got abused by the night manager that stunk and needed discinfectant and a bath. The managers didn't care as he is so busy anyway. Avoid this place!,1,Worst place in Athens! ,https://www.tripadvisor.com/ShowUserReviews-g189400-d267739-r498956832-Rio_Hotel-Athens_Attica.html,Aristo1
"July 18, 2017","Aristotelous 4, Athens, Greece"," Athens House Hostel ",2.0,https://www.tripadvisor.com/Hotel_Review-g189400-d1201689-Reviews-Athens_House_Hostel-Athens_Attica.html,"We had the displeasure of staying at his hot...er... ""place"" you could call it while on a transfer from Athens to Beirut. We had to walk up several flights of stairs and wake the reception guy up so he could check us in. He checked us in topless which wasn't in our early expectations of the place. The room was cheap and big. However the next day we discovered several cockroaches were on the ground beside us when we woke up. We had a fan to help air the room but to be honest we were happy to leave the room at any chance we got. We were planning to stay there again on our return transfer back to Dublin but we cancelled and booked another ""place"" which was a lot better. Avoid if you can unless you are happy sharing with uninvited cockroaches. Otherwise you'll love it!",2,Terrible - With a Side of Uninvited Guests!,https://www.tripadvisor.com/ShowUserReviews-g189400-d1201689-r503069459-Athens_House_Hostel-Athens_Attica.html,derek_oracle
"July 23, 2017","5 Dorou, Athens 104 32, Greece"," Alma Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g189400-d276196-Reviews-Alma_Hotel-Athens_Attica.html,"Just like the title, the hotel is horrible, nothing of hotel would be much more a pension. Dirty sheets and torn, floor full of hair, employee who does not speak English, inserted in street also very dirty.",1,Horrible,https://www.tripadvisor.com/ShowUserReviews-g189400-d276196-r504665884-Alma_Hotel-Athens_Attica.html,Borda D
"July 22, 2017","5 Dorou, Athens 104 32, Greece"," Alma Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g189400-d276196-Reviews-Alma_Hotel-Athens_Attica.html,"Was shocked at the state of the hotel compared to photos on site. All furnishings are run down and broken, elevator scary and not worth the wait, was happy to climb the stairs. There's no bed spreads, just one thin sheet and a paper thin mattress, with a one inch pillow. Toilet disgusting, hasn't seen bleach in what looks like years! Shower basin too small for my partner to fit in, water goes everywhere. We where VERY rudely informed to pay an extra 3€ per night for air conditioning (which is so loud it sounds like a helicopter landing all night long) the cafe is permanently closed, no fridge or toiletries, no phone or kettle or ANY ammenities whatsoever in room. When I politely asked if there was a share fridge to put drinks (because it's stinking hot) was rudely told no. I couldn't sleep due to the noise outside, very unsavoury area, lots of homeless people and beggars outside all night long. It's also right next door to a betting venue, for more noise. In our room there are bed bugs and our view is of a burnt out building next door. Under no circumstances stay here!",1,Warning!!! Falsely advertised!!!,https://www.tripadvisor.com/ShowUserReviews-g189400-d276196-r504522751-Alma_Hotel-Athens_Attica.html,Christian A
"July 6, 2017","2 Filadelfeos, Kifisia, Athens 145 62, Greece"," Theoxenia Palace Hotel ",5.0,https://www.tripadvisor.com/Hotel_Review-g1026500-d496634-Reviews-Theoxenia_Palace_Hotel-Kifisia_Athens_Attica.html,"The hotel building looks very nice from outside but not comfortable from inside.The floor (parket) inside the rooms need to be changed every step you make has a different sound.The bathrooms are very small, Their is no air conditioning in the corrdidors, it was like a sawna when you walk to reach your room.Very old elevators, it takes to much time until you catch one.We used too use the stairs instead of waiting for the elevators.Very rude receptionists.",2,This is not a five star hotel for sure.,https://www.tripadvisor.com/ShowUserReviews-g1026500-d496634-r499134696-Theoxenia_Palace_Hotel-Kifisia_Athens_Attica.html,alexjololian
"July 9, 2017","2 Filadelfeos, Kifisia, Athens 145 62, Greece"," Theoxenia Palace Hotel ",5.0,https://www.tripadvisor.com/Hotel_Review-g1026500-d496634-Reviews-Theoxenia_Palace_Hotel-Kifisia_Athens_Attica.html,"Welcoming staff, good location, pool was a very nice addition since it was 44 degrees in July 2017. Rooms a bit tired but otherwise all good.There are few good restaurants near by and lovely shopping street. Breakfast was superb.Will return again.",4,Quick visit,https://www.tripadvisor.com/ShowUserReviews-g1026500-d496634-r499884083-Theoxenia_Palace_Hotel-Kifisia_Athens_Attica.html,Ara C
