date,hotelLocation,hotelName,hotelStars,hotelUrl,review,score,title,url,userId
"July 26, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"Perfect place to stay in Barcelona.. We spent 9 nights there. Clean spacious rooms, good service. The staff were very helpful and spoke good english. I recommand definitely worth the money. We will visit again",5,Perfect,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r505721478-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,AimamKaur
"July 26, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"We are a family of 5 we stayed at Casa Camper for 2 nights and thoroughly enjoyed it. We had a suite which has a double bed, sofa bed and hammock which slept 4 and then a standard room that had a double bed and a separate 'lounge' which had a single bed/sofa in it. The 24hr buffet worked a treat the kids loved it. There is a basement area with a bar, seating and pool tables. The roof terrace has an outdoor seating and honesty bar and a rainforest shower. Having never been to Barcelona this waste perfect place to stay.",5,Excellent,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r506037583-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,Otbarbs
"July 31, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"It truly felt like coming home when we came through the doors of Casa Camper! We were just a wee bit afraid that things might have changed since the marvelous Susanna Martin had left the helm BUT she had trained the staff well and our beloved Georgina was there to welcome us and show us that Casa Camper was just as FANTABULOUS as ever. Having been in the air FOREVER with 3 layovers all I wanted was FOOD and PROTEIN and Georgina led me right to their clever 'automat' set-up where I scarfed down a yummy sandwich wrap, etc. Feeling revived, we headed up to our lovely room and then out the door to get our first glimpse of Las Ramblas which is SO close. Casa Camper is beautifully located and the staff goes out of its way to give you info on wherever to want to go and whatever you want to see. And the chef! Well, words can't even begin to describe the breakfasts but if you go away hungry then there is something seriously wrong with YOU! All I can say is that if there was a Casa Camper in EVERY city where we travelled and Georgina could clone herself then I would never have to research our hotel choices again. This is a no-brainer in my book!",5,SO SO Happy to Be BACK!,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r507596052-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,Lili1012
"July 26, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"This hotel is ideally placed within reasonable distance of all the major attractions and just a stones throw from Las Ramblas. The hotel staff were very attentive and nothing was too much trouble. The facility of a free help yourself refreshment facility for most of the day was very welcome after a hot day's sight seeing, and the rooftop terrace with ""honesty bar"" was lovely and a great place to relax with friends before and/or after dining out.The hotel itself was spotlessly clean and all room equipment and fittings were in good working order.Will definitely stay here again of we return to Barcelona.",5,Nothing was too much trouble,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r505980664-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,Tisketsmum
"July 23, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"Casa Camper Barcelona is a lovely hotel. It is centrally located, the rooms are very comfortable and the staff are extremely friendly and can't do enough for you. The breakfast is varied and you can help yourself to soft drinks and snacks at any time during the day. On the roof terrace they have an honesty bar which works very well. We only stayed three nights but would happily have stayed longer.Our only criticism is that there are only two of these hotels, the other being in Berlin and there is definitely room for many more of them.",5,Definitely Worth Recommending,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r504807336-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,Maddy H
"July 19, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"Our room was lovely, comfortable and clean. We could walk almost everywhere. Breakfast had many options and was delicious. There is food and drink, complimentary, available a good portion of the day, and the desk was knowledgeable and friendly. Very consumer friendly and well worth the few extra euros for all the convenience and comfort.",5,"Fabulous location, great hosts, delicious and plentiful food",https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r503562491-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,SOBO101
"August 4, 2017","Calle dels Lledo 7, 08002 Barcelona, Spain"," Mercer Hotel Barcelona ",5.0,https://www.tripadvisor.com/Hotel_Review-g187497-d3400654-Reviews-Mercer_Hotel_Barcelona-Barcelona_Catalonia.html,"We stayed at this hotel and will never stay anywhere else in Barcelona again! Service is beyond, rooms are beautify and rooftop is to die for. With only 28 rooms this is genuinely a boutique hotel bliss",5,The perfect hotel,https://www.tripadvisor.com/ShowUserReviews-g187497-d3400654-r508718273-Mercer_Hotel_Barcelona-Barcelona_Catalonia.html,patrickpJ9453JM
"July 22, 2017","Carrer Elisabets 11, 08001 Barcelona, Spain"," Casa Camper Hotel Barcelona ",4.0,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,"Casa Camper is truly special and unique. I spent 8 nights here and it became home. I had the Corner Suite and it was incredible. Space, comfort, light filled, and the most heavenly bed. Did I say the bed...yes, that bed is the best I have had in all my travels.The team is amazing and they make a stay at this property feel full of warmth. Just incredible...Enzo, Francesco, Valentina, Morgan, Isa and so many more. I cannot remember everyone's name, but truly the team here is a gift. Plus, the Pepe (Manager of the Hotel) is so wonderful.The breakfast is excellent, and the wonderful team member from Argentina who prepares the meals is so so kind and will get you anything you want -- eggs, pancakes, whatever...The rooftop terrace of this property, honest bar and 24 hours snack area really make Casa Camper feel like it is your home. This is my new ""home"" when I return to Barcelona! Thank you Casa Camper team!",5,Home in Barcelona!,https://www.tripadvisor.com/ShowUserReviews-g187497-d543153-r504522050-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,barca212
"July 3, 2017","C. Hospital 83, 08001 Barcelona, Spain"," Alba Hotel 3 ",3.0,https://www.tripadvisor.com/Hotel_Review-g187497-d596510-Reviews-Alba_Hotel_3-Barcelona_Catalonia.html,"The location is very convenient. You're only a short walk to La Ramblas. The desk staff was nice but the manager was useless. The air conditioning wasn't working but no one came to fix it the first night. I tried to open the window for air but it is so loud all night long from the foot traffic below. When the manager finally came to my room 24 hours later, after I complained a 3rd time, he was rude and tried to insinuate that it was my fault that the AC wasn't working, as opposed to a dead battery in the wall switch. I would not stay there again.",2,Small and loud,https://www.tripadvisor.com/ShowUserReviews-g187497-d596510-r498402252-Alba_Hotel_3-Barcelona_Catalonia.html,EMM13
"August 5, 2017","C. Hospital 83, 08001 Barcelona, Spain"," Alba Hotel 3 ",3.0,https://www.tripadvisor.com/Hotel_Review-g187497-d596510-Reviews-Alba_Hotel_3-Barcelona_Catalonia.html,"Having booked this hotel as part of a package and then looking at the reviews in detail we were very apprehensive before we went regarding the comments about being unsafe. However, we really loved our stay in Hotel Alba. The hotel is 3* in that it is a little tired in its decor in places however the room was of a very good size, there was a fridge, chairs, suitcase stand and a comfy double bed. The bathroom was also of a very good size. Everywhere was neat and clean. The rooms were cleaned every day with new towels and new bedding every day which was unnecessary but lovely all the same! The cleaners and reception staff were very friendly and helpful we even got a little present of turrón as we left. The location is superb - 2 minutes from the metro Liceu and from Las Ramblas. Yes this does make it loud outside at night - but if you do the same amount of exploring and walking as us in the day- you will sleep regardless. Plus the room has great air conditioning that we didn't even open the windows or use the balcony even with the weather being 30/31C. Yes, the side street is probably used for certain indecent activities but this is Spain and the streets, even this one, is busy at gone 11:30, and there are plenty of people walking about. The hotel is keycard access only and there was always a friendly smiley face at the desk to great you when you were heading out or coming back. You need to be safe around the whole of this area for Pick Pockets etc, but there is no reason to be too concerned about the area for it to ruin your holiday. All in all we loved out stay and would stay here again",4,A really good 3* hotel.,https://www.tripadvisor.com/ShowUserReviews-g187497-d596510-r509088775-Alba_Hotel_3-Barcelona_Catalonia.html,Lauren M
