,review,sentiment
0,perfect place to stay in we spent nights there clean spacious rooms good service the staff were very helpful and spoke good english i recommand definitely worth the money we will visit again,1
1,we are a family of we stayed at casa camper for nights and thoroughly enjoyed it we had a suite which has a double bed sofa bed and hammock which slept and then a standard room that had a double bed and a separate which had a single in it the buffet worked a treat the kids loved it there is a basement area with a bar seating and pool tables the roof terrace has an outdoor seating and honesty bar and a rainforest shower having never been to barcelona this waste perfect place to stay,1
2,it truly felt like coming home when we came through the doors of casa camper we were just a wee bit afraid that things might have changed since the marvelous susanna martin had left the helm but she had trained the staff well and our beloved georgina was there to welcome us and show us that casa camper was just as fantabulous as ever having been in the air forever with layovers all i wanted was food and protein and georgina led me right to their clever where i scarfed down a yummy sandwich wrap etc feeling revived we headed up to our lovely room and then out the door to get our first glimpse of las ramblas which is so close casa camper is beautifully located and the staff goes out of its way to give you info on wherever to want to go and whatever you want to see and the chef well words ca even begin to describe the breakfasts but if you go away hungry then there is something seriously wrong with you all i can say is that if there was a casa camper in every city where we travelled and georgina could clone herself then i would never have to research our hotel choices again this is a in my book,1
3,this hotel is ideally placed within reasonable distance of all the major attractions and just a stones throw from las ramblas the hotel staff were very attentive and nothing was too much trouble the facility of a free help yourself refreshment facility for most of the day was very welcome after a hot day sight seeing and the rooftop terrace with honesty bar was lovely and a great place to relax with friends before after dining hotel itself was spotlessly clean and all room equipment and fittings were in good working definitely stay here again of we return to barcelona,1
4,casa camper barcelona is a lovely hotel it is centrally located the rooms are very comfortable and the staff are extremely friendly and ca do enough for you the breakfast is varied and you can help yourself to soft drinks and snacks at any time during the day on the roof terrace they have an honesty bar which works very well we only stayed three nights but would happily have stayed only criticism is that there are only two of these hotels the other being in berlin and there is definitely room for many more of them,1
5,our room was lovely comfortable and clean we could walk almost everywhere breakfast had many options and was delicious there is food and drink complimentary available a good portion of the day and the desk was knowledgeable and friendly very consumer friendly and well worth the few extra euros for all the convenience and comfort,1
6,we stayed at this hotel and will never stay anywhere else in barcelona again service is beyond rooms are beautify and rooftop is to die for with only rooms this is genuinely a boutique hotel bliss,1
7,casa camper is truly special and unique i spent nights here and it became home i had the corner suite and it was incredible space comfort light filled and the most heavenly bed did i say the bed yes that bed is the best i have had in all my team is amazing and they make a stay at this property feel full of warmth just incredible enzo francesco valentina morgan isa and so many more i can not remember everyone name but truly the team here is a gift plus the pepe manager of the hotel is so breakfast is excellent and the wonderful team member from argentina who prepares the meals is so so kind and will get you anything you want eggs pancakes whatever the rooftop terrace of this property honest bar and hours snack area really make casa camper feel like it is your home this is my new home when i return to barcelona thank you casa camper team,1
8,the location is very convenient you only a short walk to la ramblas the desk staff was nice but the manager was useless the air conditioning was working but no one came to fix it the first night i tried to open the window for air but it is so loud all night long from the foot traffic below when the manager finally came to my room hours later after i complained a time he was rude and tried to insinuate that it was my fault that the ac was working as opposed to a dead battery in the wall switch i would not stay there again,0
9,having booked this hotel as part of a package and then looking at the reviews in detail we were very apprehensive before we went regarding the comments about being unsafe however we really loved our stay in hotel alba the hotel is in that it is a little tired in its decor in places however the room was of a very good size there was a fridge chairs suitcase stand and a comfy double bed the bathroom was also of a very good size everywhere was neat and clean the rooms were cleaned every day with new towels and new bedding every day which was unnecessary but lovely all the same the cleaners and reception staff were very friendly and helpful we even got a little present of turrón as we left the location is superb minutes from the metro liceu and from las ramblas yes this does make it loud outside at night but if you do the same amount of exploring and walking as us in the you will sleep regardless plus the room has great air conditioning that we did even open the windows or use the balcony even with the weather being yes the side street is probably used for certain indecent activities but this is spain and the streets even this one is busy at gone and there are plenty of people walking about the hotel is keycard access only and there was always a friendly smiley face at the desk to great you when,1
10,this hotel promised a lot however we had a few hiccups the front desk ladies were lovely and extremely helpful however the owner is an elderly gentleman who got involved in a dispute we had i was unable to pay with my travel credit card loaded with euros as it came up on the payment screen with the option to pay in my jo currency i said no as i did have any of my home currency on the card just euros but they would accept it i had to go down the road and get cash out costing me fees instead of using my card like i normally would in every other place it seems like the owner runs his business before the computer was invented with piles of folders behind the desk with all the paperwork i felt sorry for the girls working there another issue we had was that our room was in another part of the building so we had to pass through two locked doors with difficult locks to get to our room we also had no way of looking outside as we had double windows open one to reveal more frosted glass which was very claustrophobic the room itself was fine although the handheld shower was a pain,0
12,hostel in itself was clean and tidy and the night manager was what i can only imagine was the cleaner as he was the only one with keys decided to use my bank cards which i stupidly left in the room and do some online shopping the day manager refused to accept this was the case even though i had messages from my bank and told me had been in the although the room was cleaned and the bed made so they try and rob you but at least they clean your room would not recommend as this ruined our whole stay,0
13,we decided to go to barcelona at the last moment so it was almost imposible to find a room the hostal paris solved the problem although they only had a room with a shared bathroom everyday the bathroom was clean we never had a problem with a busy bathroom the checkin was good and the employees were very helpful and attentive the hostal is close to everything and public transportation is very accesible near food shops pharmacy bus stop metro station important site seeing everything is close,1
15,good things good location ner subway and la rambla quite cheap hotel bathroom quite fresh and they cleaned the room everyday friendly staff cons our specific room had a not so modern design with old furnitures and had not been renovated for many years also very noicy from the streets outside and the other hotel rooms not soundproof at all but this mainly bothered us during the weekend and not the weekdays when you use the bathroom there is zero soundproof for the rest of the hotel get what you pay for and we think it worked quite well since we wanted something cheap and central,0
16,we slept five nights it near the main touristic street la rambla good public transport close to the beach its very clean very very kind and friendly staff we have a wifi all time in the room only thing i do understand is that room has balcony but you cant step on it because you only have big window but no door d maybe its because the safety,1
17,this was an answer provided by hostel after arriving to the spot with booking confirmation code and pin received from maybe it is not entirely hostel fault that overbooking occurred room was booked hour before arrival due to missed flight but still it happened around the midnight for super tired person or maybe it is a policy of the hostel anyway not the experience i would wish for traveling i wish to believe that confirmation of booking means that i have a roof over my head otherwise we screwed,0
18,i searched in for a reasonable price hotel in barcelona and one of those oprions was hotel barbara i booked it as a hotel but when i entered to my room i felt i decieved it was not a hotel but was just a hostel and a very dirty noisy smelly one i never had a quite time there and the smell of cigrattes was in my room all the never recomend it because if i wanted a hostel i could choose too many better options in the town,0
19,clean friendly very central wifi was great our room was newly done only one thing was our shower had a shower curtain not a train smash we already booked and paid for another hotel otherwise we would gone back there after our cruise since you are only going to sleep there it is great value for money,1
20,the location is good but the services are very poor the air conditioning was not functioning only in our room the smell in the bathroom was awful the receptionist told us we will have the ac repaired but it remained the same for days so they told us to just open the window the cleaning service was very poor,0
21,i would like to leave a comment about your hotel i have to say that i am really disappointed we are the very first room in the hotel as soon as you come up the stairs for the reception i can hear every single conversation in the reception and doors slamming all night long it says in your website that we have air con and hair dryer that not true the air con if you need to adjust it you have to go to the reception and they would change for you during the night i was hot and then cold and i did want to go the the reception at in the morning to change my ac as you can imagine the hair dryer we have to go the the reception and get one that is shared with at least or other rooms there are no windows at all nothing was saying in your website about the absence of windows there is barely a door between the room and the toilet which is very uncomfortable the shower is awful the doors barely close is very small and some of the functions are not working the tv is literally so high almost on the sealing that if i am in bed i can not see anything i can already tell you it the first and the last time i will be staying in your hotel,0
22,can here for a day break before my husband undergoes surgery and wont be able to travel awful hotel dirty and dusty room hairs in the bathtub mould on the room wall and bathroom and worst part the ac in our room does work,0
24,very good hotel i would rate it stars if the wall wasnt so thin u can hear every single world happen next rooms and specially if you are in the ground floor in addition there is no refrigerator in rooms,1
25,good location with easy access to metro all staff were very friendly and helpful from start to there was only flat pillow per bed we stayed four nights and old towels and rubbish was taken out or toilet roll renewed for the whole time we stayed i had to go downstairs to reception twice to ask the receptionist to get us towels and toilet very basic things in my seemed annoyed when i went down the first day that it had been done by accommodation staff yet it happened again the following day again nice clean basic rooms great power in the work nearby acted as alarm clocks at most mornings and people coming in an out of other rooms on the corridor could be heard,0
28,we visited the gran hotel barcino early july for three nights the location is fantastic right in the middle of the gothic quarter we had a room on the second floor it was simple and clean and had floor to ceiling windows that opened to a small balcony gorgeous we did not pay for breakfast as there are so many local cafe the staff were really friendly and the safe only costs euros a night to hire other reviews mention the noise yes it is noisy at night especially friday and saturday night but after a few estrella and mojito i was flat out so it was an issue i would recommend this hotel to anyone and will definitely be going back,1
29,visited for nights as a group of females in mid july the location of this hotel is absolutely excellent can not be faulted right in the heart of the gothic quarter with numerous cafés bars restaurants and shops all within a stones throw within walking distance of las ramblas the beach and we also walked to the sagrada familia the latter took about minutes but was a pleasant walk through barcelona the room was basic with single beds but was clean spacious had a large bathroom and a small balcony the safe is a night and is payable on staff on reception were extremely helpful when we struggled to check in for our flight online also a taxi to the airport from here is approx and takes minutes there is one downside to this hotel and that the noise if you sleep well like us then this will not be a problem but if not then remember your earplugs all in all a basic clean hotel in an excellent location with fab reception staff would highly recommend,1
30,booked through hotwire big mistake this time since hotel web had better price and included breakfast we got a nice room almost on top floor not very big but nice and clean buffet breakfast was good with a perfect choice for us to staff in the reception very helpful with all kind of information it not situated that close to ramblas but we like to walk and feel a city so it was ok,1
31,i stayed for nights in this hotel great location on the corner of la rambla many restaurants and shops in front of metro station and min walking to room is old and dusty the ac is too noisy the bed is hard and not comfort at all and the staff is not friendly,0
32,i am delighted i booked the monegal it is right on the plaza catalyuna only steps away from the ramblas this is the area you want to be in the hotel is basic no frills small rooms butperfect ofr me for a day stay it is clean and quiet at a good price there is a very generous breakfast offered as well i would certainly stay here again as i hope to visit this glorious city again,1
33,since years i was staying in your hotel after opening it was really good value for money in a perfect location and really im the centre location is still great but despite of that everything else worsen neither the rooms or the hotel has undergone any renovation or replacement the walls are dirty and full of spots in the restaurant as well need some new paint the furniture is partly broken and need some paint or replacement as well the included breakfast is a great idea and used to be really nice but now the area for breakfast is dirty nothing is refilled flies everywhere the handle of the breadcontainer is broken etc why did you stop it that the guest select one pastry or sandwich from the bar why did you stop that the guest orders his coffee from the bar and serve now bad filter coffee in a thermos during our days stay the bed linen got changed only once probably because we asked the floor in the room and bathroom was not cleaned at all in those days the staff working at reception was not really helpful neither interested to make our stay and time in barcelona to a good experience also i booked a double room and we got a mini tiny room on the evacuation plan this room was asssinged as a single room but reception said it is a double room and showed again no effort to give any alternatives i am really disappointed,0
34,we spent night out of intended on this hotel because it was so noisy and very dirty the ceiling in the batroom was moldy the bed mattress smelled of vomit and the drinking glasses were not washed at all from the previous guests after one night we cancelled the rest of our stay and moved to a different hotel disgusting place,0
35,the hotel is located near the place de catalunya which is just a walking distance from la ramba marina sagrada familia and many other tourist attractions you can leave your luggage at the reception and the hotel staff is very friendly and helpful they borrowed us a phone charger and gave some paracetamol late on a saunday evening when shops were closed there is a restaurant next door where the breakfast is served it basic but good and includes water milk and cereals croissant bread ham cheese and fruit,1
37,this hotel is in a perfect location with a a very modern stylish the rooms are small claustrophobic made all the more difficult by very poor lighting this occasion our refrigerator did not function our air conditioning was below par management offered no solution except by sending a supervisor up to see us who could not speak were evident on the lip of the bath suggesting a poor level of to not having a functioning refrigerator we requested an ice bucket for our wine hotel does not have an ice one should have the capacity to communicate in spanish in order to make any level of communication ie complaint successful all in all one had the impression that guests were secondary to managements expectations other words the guests did not all the places that we have stayed in around the world this was the very disappointing end to our holiday in spain leaving a bad taste in our memory john e,0
38,booked the hotel because of its location which is ok the rooms were v small for the price in our first room there was black mould around the bath the view from the window was a brick wall there was construction work going on room service was poor pillow case changed in such a way that it was not put on properly causing crease and discomfort pillow in cupboard had been cleaned and were smelly and unusable bathroom accessories not replaced towels not changed room window left open during day presumably to save on ac costs letting in mosquitoes that bit causing considerable discomfort ac itself was weak and were hit in miss some grumpy some helpful,0
