,label,index
0,1,"[7941, 1891, 4279, 2257, 6517, 5361, 7333, 6833, 3023, 482, 7915, 6268, 5008, 5411, 3458, 3782, 1885, 2810, 3456, 7738, 8131, 5008, 7718, 7818, 6609, 3394, 5171, 3458, 6374, 5361, 4820, 8294, 7336]"
1,1,"[5361, 4264, 3688, 1022, 7884, 5361, 282, 7990, 765, 4188, 8692, 6833, 7738, 5028, 8222, 3683, 5361, 2161, 3688, 348, 7667, 7819, 3688, 331, 1928, 2555, 1928, 7738, 3422, 7667, 4619, 7738, 1827, 3688, 6375, 2369, 3909, 2161, 3688, 331, 1928, 7738, 3688, 8314, 7667, 2161, 3688, 966, 6517, 3683, 3458, 7775, 3046, 3688, 6355, 3458, 6916, 502, 3683, 3023, 5774, 3688, 2890, 7504, 4055, 3688, 4271, 2620, 7738, 5130, 7297, 3458, 5582, 756, 7819, 932, 7503, 2620, 7738, 8207, 4271, 7738, 3688, 148, 4618, 4691, 7424, 4880, 4279, 5533, 8298, 7292, 7941, 1891, 4279, 2257]"
2,1,"[3683, 8506, 557, 8125, 3580, 3219, 4651, 5361, 5436, 2710, 3458, 6325, 7884, 765, 4188, 5361, 1885, 1375, 3688, 7081, 7869, 8881, 3909, 4430, 5441, 1556, 3737, 3983, 3458, 4600, 1544, 1705, 2161, 2616, 3458, 6386, 7109, 8924, 2161, 6943, 3458, 3782, 2937, 7738, 2234, 6610, 5988, 6244, 3023, 4279, 1818, 4176, 7738, 8120, 4176, 3909, 765, 4188, 6244, 1375, 6967, 1165, 6967, 5368, 4691, 4880, 6517, 3458, 6035, 2842, 4055, 8022, 5309, 7818, 8255, 6244, 82, 7738, 1133, 7738, 5988, 3449, 8133, 7729, 4279, 7367, 8071, 959, 7818, 2923, 2718, 3688, 2403, 8836, 8962, 1350, 4562, 7017, 5361, 7926, 8846, 4279, 2234, 1817, 2369, 7738, 1827, 4321, 3458, 4747, 4279, 1138, 2234, 2576, 3546, 7884, 5091, 6095, 7667, 5774, 6277, 4071, 765, 4188, 5774, 3718, 6430, 7738, 3458, 3782, 1186, 4321, 7884, 406, 2034, 4279, 7395, 799, 3891, 4409, 3954, 4279, 2520, 4279, 7094, 7738, 8206, 799, 2520, 4279, 2844, 7738, 3458, 1630, 2937, 1174, 3251, 8532, 8823, 4279, 6436, 3458, 1245, 7109, 479, 799, 7094, 8085, 7879, 1827, 3023, 5774, 7163, 67, 748, 4055, 799, 5309, 7818, 8687, 4076, 5774, 3909, 479, 3023, 6244, 3688, 765, 4188, 6517, 3589, 8292, 959, 5361, 6361, 7738, 5988, 1080, 5840, 7479, 1827, 7818, 3024, 7424, 1556, 4279, 380, 2234, 2300, 3100, 7336, 8298, 5774, 3688, 6517, 1540, 7628]"
3,1,"[8298, 2300, 5774, 8398, 424, 1361, 2589, 1125, 7884, 5309, 3458, 8926, 3158, 7738, 1375, 3688, 8729, 6979, 5917, 5091, 6095, 3458, 2300, 3782, 1885, 2810, 6822, 7738, 7306, 6244, 6130, 7100, 8459, 3458, 3402, 7884, 3688, 3070, 2742, 5609, 8044, 3402, 8692, 8856, 7884, 3458, 5901, 6244, 2810, 1818, 143, 3688, 1156, 5901, 833, 7038, 7738, 3458, 4601, 756, 4055, 8207, 4271, 6244, 1817, 7738, 3688, 4410, 1891, 4279, 7899, 4055, 5217, 8156, 143, 9052, 2300, 5283, 6244, 169, 482, 7738, 5309, 2369, 4875, 7738, 3029, 1885, 6517, 5008, 4187, 3394, 2257, 5924, 7336, 7884, 5361, 5347, 4279, 5533]"
4,1,"[765, 4188, 5533, 5774, 3688, 1817, 2300, 3683, 5774, 7209, 6430, 3458, 6268, 4264, 2810, 5850, 7738, 3458, 3782, 4264, 7874, 2836, 7738, 3251, 1058, 3290, 8692, 799, 3458, 1434, 5774, 7264, 7738, 799, 8687, 2742, 5609, 4279, 4422, 4855, 7738, 2998, 7990, 3769, 8671, 7151, 3458, 5901, 4409, 3458, 5582, 756, 5458, 1556, 932, 8207, 4271, 7667, 4351, 2810, 2937, 5361, 4629, 282, 7640, 6833, 7109, 3024, 2061, 1556, 282, 4629, 3443, 5774, 3909, 3023, 4264, 4629, 8878, 7884, 6479, 7368, 3458, 7755, 3310, 6517, 4419, 7738, 3023, 5774, 3394, 2369, 8692, 8518, 5991, 7884, 1119]"
5,1,"[2234, 2369, 6244, 1817, 5850, 7738, 482, 5361, 1080, 2917, 2879, 4149, 1434, 2161, 8518, 2693, 7738, 6244, 4421, 3023, 5774, 82, 7738, 4477, 2881, 546, 3688, 5008, 4939, 7884, 3458, 5901, 7738, 3458, 8152, 6244, 3011, 7738, 2836, 2810, 4702, 2836, 7738, 2937, 5171, 3458, 8343, 6741, 7480, 8692, 5309, 3458, 3871, 7738, 6043]"
6,1,"[5361, 282, 7990, 8298, 2300, 7738, 4820, 7424, 2257, 547, 8246, 6517, 5533, 7336, 5411, 5774, 1099, 6268, 4264, 5875, 7738, 4601, 5774, 4279, 5177, 8692, 4055, 4629, 6268, 8298, 5774, 6935, 3688, 5646, 2300, 7347]"
7,1,"[765, 4188, 5774, 8506, 8800, 7738, 176, 7818, 7333, 6833, 5924, 7738, 3683, 1597, 3219, 7818, 2161, 3458, 141, 348, 7738, 3683, 6244, 7683, 619, 6043, 4120, 1982, 7738, 3458, 8856, 3347, 1928, 6322, 7818, 4076, 3458, 1928, 2714, 3909, 1928, 5774, 3458, 3512, 7818, 1556, 2161, 6517, 5309, 1540, 6429, 5774, 3147, 7738, 5458, 967, 3688, 2257, 7990, 8298, 5555, 3743, 3801, 7884, 7773, 1375, 7683, 4529, 5938, 1241, 2109, 217, 7738, 6277, 8518, 5991, 7818, 8687, 7238, 5291, 4239, 6419, 7109, 8506, 3458, 6429, 5924, 5774, 3688, 4240, 5105, 3458, 1990, 1281, 7884, 3458, 2300, 5774, 6277, 1434, 5774, 5224, 7738, 3458, 1202, 6429, 6027, 5917, 6068, 1189, 1072, 3458, 1549, 5774, 6277, 6277, 3549, 7738, 4820, 1138, 799, 240, 799, 2520, 2903, 2059, 8206, 3458, 4601, 756, 7884, 8298, 5555, 4782, 4271, 7738, 4475, 895, 7504, 22, 967, 765, 4188, 3743, 8125, 3683, 5774, 2031, 3219, 8298, 5774, 1540, 3131, 3219, 4651, 7818, 5347, 4279, 5533, 3307, 799, 765, 4188, 6429]"
8,0,"[3458, 4331, 5774, 2810, 8344, 799, 4629, 3688, 2744, 2917, 4279, 1328, 6095, 3458, 8152, 3782, 6244, 7403, 7109, 3458, 1281, 6244, 6233, 3458, 6035, 4328, 6244, 4187, 7109, 3961, 7932, 5436, 4279, 1845, 3683, 3458, 2576, 8369, 7818, 6760, 4279, 2485, 3458, 7807, 8692, 6035, 7109, 3683, 5774, 6277, 3577, 5309, 8369, 1018, 5917, 3458, 3316, 2501, 2582, 4651, 3458, 1281, 480, 5436, 4279, 1540, 2369, 4475, 913, 143, 7818, 6690, 3688, 8671, 2875, 6244, 6621, 7738, 6760, 4279, 7428, 3909, 3683, 6244, 1540, 2972, 3909, 3458, 8237, 6244, 4187, 6967, 4790, 4279, 3688, 3903, 6462, 6517, 3458, 2808, 1247, 7818, 3024, 7238, 2257, 3023, 7336]"
9,1,"[4691, 5992, 8298, 2300, 6967, 2313, 7884, 3688, 554, 7738, 1827, 453, 7990, 3458, 3295, 6517, 4570, 5361, 1885, 2810, 6143, 8156, 5361, 4370, 592, 3458, 8449, 5310, 3310, 8046, 3939, 5361, 22, 502, 2234, 2257, 6517, 2300, 3079, 3458, 2300, 5774, 6517, 3909, 3683, 5774, 3688, 2817, 1071, 6517, 406, 6129, 6517, 464, 3939, 3458, 2369, 6244, 7884, 3688, 2810, 5008, 7809, 3023, 6244, 3688, 6442, 1829, 5814, 2164, 7738, 3688, 1797, 331, 1928, 3458, 616, 6244, 3511, 7884, 3688, 2810, 5008, 7809, 4149, 6244, 5474, 7738, 482, 3458, 6268, 1885, 6961, 3589, 5901, 4055, 3131, 6846, 7738, 3131, 2078, 3589, 5901, 7667, 6244, 5206, 7109, 1817, 5309, 3458, 2376, 3458, 6250, 7738, 5976, 3782, 1885, 2810, 2836, 7738, 3456, 5361, 8532, 3094, 3688, 2817, 8501, 7884, 6213, 6967, 5361, 2616, 3458, 4331, 5774, 2667, 3338, 5917, 3458, 8160, 7472, 7738, 5917, 5091, 6095, 2714, 8298, 7893, 967, 3683, 3577, 5876, 7990, 8369, 7109, 479, 799, 1058, 3458, 2376, 2258, 7884, 449, 7738, 3889, 6967, 4176, 6517, 3458, 799, 4820, 8581, 1761, 5105, 3458, 2369, 7819, 4410, 6035, 4328, 3909, 5361, 6322, 8532, 2485, 3458, 1984, 8060, 8789, 3458, 6826, 8532, 4055, 3458, 3709, 3310, 2714, 3458, 1140, 3333, 5774, 3190, 8033, 8692, 2757, 2816, 4494, 7109, 8298, 5774, 927, 7738, 3458, 2635, 8532, 8298, 7932, 5774, 2219, 7990, 352, 7738, 3023, 4264, 882, 7884, 6083, 3889, 5310, 3458, 2300, 5774, 2655, 6851, 4629, 7738, 3023, 6244, 7595, 3688, 2836, 6503, 1566, 7990, 3458, 8152, 4279, 4410, 799, 4651]"
