,predlabel,trueLabel,indexLocat,review,classification
0,0,1,6,good location good breakfast which is included good wifi and tv pity they dont offer a buffet meal too especially on sunday night when there is nothing worthwhile to eat in this area without getting back on public transport only negative is no fridge,VADER
1,1,0,33,booked this based on the beautiful best western we used in london nothing like it do trust brand name terrible area did feel save old shabby hotel no help with luggage up to room smallest bathroom i ever experienced only thing that was okay was the breakfast wo be back there,VADER
2,0,1,50,the hotel was nice and modern the restaurant was also very good the public transportation is right outside the hotel which is convenient but i did realize it was really downtown we walked downtown and it was a minute walk the round trip public transportation price is about per person or all day the staff gave us bad information about the taxi to the airport though said they take credit cards they did not and said it would be to depending on traffic but it cost we had to run inside and pay the fee at the atm to pay the taxi driver this was a taxi that they booked for us,VADER
3,1,0,59,i think this hotel is too pricey for what it offers it is placed in a very dirty and crowded zone the rooms look old and need updating the room assigned to me smelled like someone had smoke in and it is a was extremely noisy the hotel and outside super noisy all the time i do understand the prices we pay compared to the quality of the experience it speciallymakes me wonder who works there and if they can be trusted as they do not have respect for the comfort of guests the sheets had little wholes in many places the floor was scratched a lot i sensed a really bad smell in the halls one of the receptionists was cranky and moody when people requested things that do match what he wants but are normal people requests i sense some entitlement here that needs them to be reminded of who paying i mean if they ask for so much money they should care about people and listening to them i do need rudeness or crankiness if i paying for a service if you do like your job please change it i insist that the price is too high,VADER
4,1,0,92,hotel is ok kind of location is not bad but not a walking distance from attractions rooms are quite small and breakfast is very basic i would explore another hotel if i go again to barcelona it has elevators one was down during my entire days stay staff are quite helpful with good english communication,VADER
5,0,1,103,we stayed one night and had two rooms for people rooms were spacious and comfortable did not eat at the restaurant because the breakfast price was outrageous within a minute walk to one of the hop on hop off bus tour stops which was convenient for us do even think about getting laundry done price is per item for a pair of underwear to be laundered hotel is in a quiet residential neighborhood,VADER
6,1,0,117,after much thought my daughter and i decided to meet in athens greece for our first european vacation my daughter lives in south korea and i live in new jersey we thought it would be the perfect vacation we planned it for months and decided after much investigation to stay in the melia in athens greece our flight transfers and all of our plans went perfectly except for our choice of hotel there were many issues with this hotel the internet did not work well the room was not very clean the shower was moldy the blow dryer did work and when it was replaced we could use it in the bathroom we had to use it over the vanity and it did not have a cord long enough to reach over the vanity to use it but that was nothing in comparison to the security issue that we experienced an electrician from the hotel entered our room without any notice to fix the internet that what the management at the hotel said this worker proceeded to leave our room with the door propped open he said he had to check something n the basement this left our belongings exposed to anyone and everyone who passed by for more than five minutes i happened to return to the room to find that situation when i went to the management at the hotel they tried to tell me that the room was unattended when clearly it was the man who left,VADER
7,1,0,152,when the best thing you can say about the hotel is that you liked the front desk staff know it not great truly the guys at the front desk were very helpful and professional we booked an eight day greek vacation after backpacking and self guiding ourselves through italy for weeks through an aegean travel agency we had two nights in athens before heading to sifnos and serifos islands and then one night in athens again before ending our trip we were picked up at the airport and transferred to hotel economy by a great taxi driver i guess we should have known by the hotel name what kind of place it would be first of all it basically in the red light district as i would call it there are therese two minutes in any direction the hotel is very dated the beds are hard and the pillows are harder the bathroom is barely big enough to change your mind they could use plastic shower curtains you flood the bathroom when you shower thank goodness for drains in the floor you have to sit on the toilet to shave your legs actually sort of handy the refrigerator does work when you leave the room it connected to the key so there no chance to have cold water when you return from your shopping or tour it very noisy outside as well as above you the continental breakfast starts ta that late if you from the us it a pretty,VADER
8,1,0,172,the staff were very nice from top to bottom the pub was nice and the breakfast was good the room was dirty and in great need of maintenance do look under the bed the lamp shades were barely hanging on the hot water faucet was loose the shower was leaking and the safe was in operable and broke either they plan on selling the property soon or plan to rent out each room until it ca be rented again the one i was in was very close to this point but on the positive side the location was great they can arrange parking for you about a block away underground and the staff is very nice bring earplugs and an open mind do pay too much and the place will be fine,VADER
9,1,0,187,be aware this hotel has two small rooms on each floor which do not have windows to the outside they have small windows that look out into a very dark small open central lobby it is our first time staying in hotel with no windows to the outside we were unlucky enough to get one of these try to sell you on their buffet breakfast euros reduced to euros if you book breakfast for the entire stay bear in mind that you can get a baguette sandwich plus a coffee for about euros from any of the little pastry shops around the hotel we did bother with their breakfast option and were glad we front desk staff is especially this one lady who works nights the only helpful person we found was maria who was very gracious and helped us with check out,VADER
10,1,0,204,came to dublin as a treat after recovering from an illness our room was shabby with the formica peeling off the furniture stains on the lampshades and grouting around the bath discoloured the air con was outdated and noisy the shower was extremely low powered the room was at the back of the hotel on the ground floor with virtually no natural light getting in therefore had to have the light on all the time how depressing large blue bins for refuge collection were lined up right outside our window the breakfast was just ok the housekeeping staff were very pleasant and courteous as were the staff in mcgettican cookhouse the food here was very good and great value,VADER
11,1,0,219,first the highlights updated hotel with comfortable rooms and a great breakfast in a great neighborhood secondly the disappointments as a gold honors member and mile flier i have stayed at a few international hotels the staff never quite got all of the amenities in my room right each day no new coffee most days bathroom amenities missed most days daily water was hit or miss on my last day of i asked for water to be replaced and was told the hotel policy was water only on the first day of arrival really this is the first major brand international hotel where i found the complimentary water rationed to one day i explained my concern to the staff and they had no answers penny wise pound foolish i will not be back,VADER
12,1,0,228,the hotel is an aging and quaint location it clearly needs some maintenance and they decided to do it right outside our rooms while we stayed there for over for days i like to sleep in peace and not be poisoned workmen woke us up on day one that day they painted in a gloss paint that had a fairly heavy odor my wife was affected by it breakfast was average and the staff attempted to be pleasant i suppose but for the money you can probably do better it was the only place in ireland we stayed in that was disappointing,VADER
