,predlabel,trueLabel,indexLocat,review,classification
0,1,0,54,room was excellent cleaners were meticulous and reception staff spoke excellent english and had great local knowledge restaurant food was ok but rather bland however excellent and cheap local tapas bars just around the corner i am a nice bloke and normally give i am easily pleased so why halfway through our holiday we were attacked in our hotel room by a huge muscly naked man who was off his face on drugs we went and got security who manged to get him out of our room and back to his room when we went back in the room there was blood and water all over the floor we had to throw away our towels toothbrushes cosmetics and shower stuff as they were covered in his blood reception moved us to a different room for obvious reasons we had a great room overlooking the pool and with a view of the famous familia cathedral our new room was next to the main road looking at the hotel bins nice reception staff were nice and said sorry and that the following day management would speech to us and offer compensation nothing was ever said did they call the police we were just left in the dark i got the feeling this had happened before and the hotel wanted to hush it up was the naked man a manager we spent the rest of the holiday wondering if we would be sat next to him at breakfast not a nice feeling,VADER
1,0,1,72,well what can i say the reviews of this hotel dont lie its great from start to finish ahhh be warned the taxi from el prat airport to the ohla is about eur however the taxi drivers add on a eur to eur tip or charge on top be warned factor in ok back to the hotel we stayed in a junior suite however it was effortless the reception staff are excellent on the ball when entering the room is clean spacious and the bed was ernomous however be warned there is a huge bit of glass separating the room from the bathroom so if you not comfortable in being erhum in the nude in front of your loved one then this hotel might not be the one for you in the bathroom you have a walking in wet room shower and a bath the toilet its behind or adjacent to the front door took me minutes to find it i thought we been burgled and some strange weirdo had nicked the karzee it had everything be warned the air con is fresh it works really well flat screen tv is temperamental but the late night bed fold down service is great too my girlfriend loved the chocolates they popped on the pillow as we returned from our night out overall you be hard pushed to find a better hotel the pool area on the floor get there early to avoid disappointment there are only bean bag sun loungers which,VADER
2,0,1,78,very nice hotel with rooftop pool wish there were more seats by the pool can be use the restaurant so ca tell you how it was but the seating outside was not available for food service only drinks we woke up in the middle of the night because the staff was clearing dishes not a good time to do that but mostly very good and convenient to sights bus taxi etc,VADER
3,1,0,82,we stayed at this hotel before our cruise guests with rooms for two nights a significant investment we went hotel directly from our international flight we knew check in was til later afternoon but hoped for a place to freshen up a bit it was like for us we returned to the hotel at and for our family with rooms we only had ready at we were late for our pm reservations to sagrada familia and no one seemed to care others were waiting for rooms also by sleeping in the lobby i not sure how difficult it would be to have enough staff to get rooms turned around more quickly especially for that first night after international travel the hotel is beautiful loved it and the rooftop area i wish i had felt more cared for in the check in process,VADER
4,1,0,87,the team have a serious communication the service at the restaurant it terrible night a random person enter our room at it was another guest that mistook the door the explanation of the hotel was that an error in the system allowed for a few minutes any card access to any door other day when i closed the room door a piece of roof ventilation whole felt down thanks good i closed door from inside otherwise it would break my head when you have any issue that you want to report to the manager it really dificultades to reach him not serious for a star hotel,VADER
5,1,0,88,location is good rooms are clean although on the small size however the beds are not too comfortable and the noise from the pub downstairs is unbearable in other countries this place would just not get a licence as a hotel we would recommend travellers to keep off this noisy place,VADER
6,1,0,105,i had a transportation issue that stranded me in togo africa for two days causing me to not be present to stay in the room i booked i was in africa as part of my studies assisting members of the peace corps i booked through and i did not choose the option to get a refund i acknowledge this fact i contacted the hotel to let them know the situation thinking that they might be customer service oriented and have compassion for a student budget i completely understand them charging me for two nights of three because i was going to arrive there on the third day but they gave zero leniency and basically told me that if i had booked through the hotel website that they would helped me and that i should contact which i did response was that they could refund me but the hotel could if they saw fit to do so when i finally arrived they had deleted my reservation entirely likely so that they could book out the room in my absence i had to wait almost an hour to have my reservation reinstated in the computer system the young lady that completed the reinstatement of my reservation was the only staff member that was in anyway helpful or kind i have worked in the hospitality industry including resort hotels and this experience in my opinion deserves a zero rating this pretentious frat house that calls itself a hotel is the worst i suggest,VADER
7,1,0,131,if you request a standard deluxe room newly updated you will love the balcony hotel pere iv has no bellman to assist with luggage and taxi it is very hard catching a taxi at this location especially with no staff assistance yes of course free wifi but the connection is extremely front desk staff is nice but they are not trained correctly especially planning reservations for brunch dinner etc with the wifi hardly working the front desk staff wifi works just as slow beware,VADER
8,1,0,143,first impressions are good really nice lobby friendly reception staff but no doorman as a hilton gold member i was upgraded to a room on the higher floors the room was a reasonable size immaculate and tastefully decorated with a feel the property next door is undergoing building works but did hear any noise during my stay the bar is also nicely decorated and has a good selection of service was variable initially attentive but had to approach the bar to reorder on both occasions even though it was busy and staff lacked knowledge on the menu having requested a swedish whisky which i was pleasantly surprised to see on the menu the staff member had to go and check with another on them not being able to locate it she then pulled an arran a scottish island whisky off the back bar and suggested it hardly the same the hotel has a couple of restaurants alfie and coberg the first has pub food including a number of veggie options the second which is also where breakfast is served has very limited veggie options pasta and salad with the vast majority of menu being meat and fish i did dine in either given so many options nearby in town breakfast was a disappointment no orientation was provided with regards to what was a la carte such as toast vs self service on being seated and it not being particularly busy it took minutes from ordering to get a cup of,VADER
9,1,0,145,the only reason to stay at this hotel is its proximity to the conference center next door the hallway outside our hallway smelled of a dead rat housekeeping never came unless called and requested the swimming pool is a joke for a family it is more like a hip hangout with people smoking shisha and behaving poorly we were concerned an escort service was being run out of the pool area just avoid this hotel there are so many other hotels which are much nicer,VADER
