date,hotelLocation,hotelName,hotelStars,hotelUrl,review,score,title,url,userId
"July 6, 2017","29-30 Harcourt St, Dublin 2, Ireland"," Jackson Court Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d213300-Reviews-Jackson_Court_Hotel-Dublin_County_Dublin.html,Me and my partner stayed here last week. I can still feel my head pumping from the noise of the disco throughout the night. I didn't realise on a Thursday night I would have been kept awake on the third floor by the disco. Smallest hotel room I've ever stepped foot in. Only plus for this hotel is reception staff were lovely and more than helpful.,2,Disappointed stay,https://www.tripadvisor.com/ShowUserReviews-g186605-d213300-r499298185-Jackson_Court_Hotel-Dublin_County_Dublin.html,AlishaMonaghan
"July 14, 2017","29-30 Harcourt St, Dublin 2, Ireland"," Jackson Court Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d213300-Reviews-Jackson_Court_Hotel-Dublin_County_Dublin.html,"Really nice place to stay, breakfast was great, rooms were clean and comfortable. Staff was pleasent and helpful. They do have a night club there that can be loud, check draws for ear plugs. overall, we enjoyed our stay",4,Dublin Trip,https://www.tripadvisor.com/ShowUserReviews-g186605-d213300-r501932079-Jackson_Court_Hotel-Dublin_County_Dublin.html,Bob R
"August 1, 2017","29-30 Harcourt St, Dublin 2, Ireland"," Jackson Court Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d213300-Reviews-Jackson_Court_Hotel-Dublin_County_Dublin.html,"Stayed here for the weekend as we were going to the Armagh match in Dublin. Checked in late on the Friday evening, room was on the 3rd floor which was fine but no elevator, only a problem if you have mobility issues. Room was small but lovely décor and nice clean bathroom. We were overlooking the street and had to have the windows open as it was quite a warm weekend so got a lot of noise from the people using the nightclub. It didn't really bother me and I got a good night's sleep regardless. One small tip to management would be to get fitted sheets, I woke up a number of times with the sheet bundled in the middle of the bed - small matter, I know but hey-ho! Overall a lovely central hotel with helpful staff and lots of bars/restaurants in walking distance. I would use this hotel again.",3,Good conveniently located hotel,https://www.tripadvisor.com/ShowUserReviews-g186605-d213300-r507672476-Jackson_Court_Hotel-Dublin_County_Dublin.html,Jill D
"July 24, 2017","29-30 Harcourt St, Dublin 2, Ireland"," Jackson Court Hotel ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d213300-Reviews-Jackson_Court_Hotel-Dublin_County_Dublin.html,"Boy did we learn the hard way!! Do your research before booking!! The only redeeming feature of this hotel is the location close to the city. If I could grade this hotel with a ""0.5"" or even a ""0"" I would. This is a 2 star hotel with a popular nightclub on site. Warned about noise after check in. Even found the hotel provided ear plugs - which didn't work !! We were provided with twin beds in a claustrophobic hotbox! One small window which had to be closed at night to minimise the noise from the nightclub. The ensuite was small and had a broken toilet lid and seat. In the room there was outdated information regarding meals. In reality we found - Breakfast available everyday. Lunch only Mon - Friday. No evening meals for guests on weekends. Bar on a Saturday not open until 11.00pm for the nightclub. No room service. No obvious facilities for the disabled.The nightclub proved to be a nightmare for us with the amount of noise generated and also the noise generated by the staff cleaning up and disposing of glass bottles at around 5 am. Hotel does not provide parking and after being directed to a car park ( 5 - 10 minutes walk away from the hotel) that supposedly gave hotel guests a discounted rate we found that we were charged the normal rate. Wifi poor inconsistent unreliable. The staff came across as indifferent and brusque towards hotel guests.In summary grossly overpriced accommodation for the poor accommodation and service it provides, We do NOT recommended this hotel.",1,Faulty Towers in Dublin (No humour),https://www.tripadvisor.com/ShowUserReviews-g186605-d213300-r505183479-Jackson_Court_Hotel-Dublin_County_Dublin.html,Heather W
"July 24, 2017","11 Eden Quay, Dublin 1, Ireland"," Clifton Court ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212929-Reviews-Clifton_Court-Dublin_County_Dublin.html,"Got a cheek to call this a hotel, an absolute dump.I was charged €289 for 2 nights in this hovel, how do they get away with this, in my opinion €15 per night would be more suitable. People take my advice go elsewhere, my towel rail in the toilet was a rusty screw on the back of the door and we had lights hanging off the wall above the bed and a TV that went out of style in the 1980,s, what a dump and in my opinion a death trap if a fire was to break out",1,Is this a hotel ,https://www.tripadvisor.com/ShowUserReviews-g186605-d212929-r505346840-Clifton_Court-Dublin_County_Dublin.html,Mr Hugh C
"July 25, 2017","11 Eden Quay, Dublin 1, Ireland"," Clifton Court ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212929-Reviews-Clifton_Court-Dublin_County_Dublin.html,The hotel was very cheap as Dublin goes. The service left a lot to be desired. I've stayed twice in June. I felt both times with different receptionists that my arrival was an interruption. The room was comfortable and clean. The bathroom ont eh second occasion needed work.,4,Cheap and cheerful,https://www.tripadvisor.com/ShowUserReviews-g186605-d212929-r505564000-Clifton_Court-Dublin_County_Dublin.html,Paul W
"July 30, 2017","11 Eden Quay, Dublin 1, Ireland"," Clifton Court ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212929-Reviews-Clifton_Court-Dublin_County_Dublin.html,"From reading the reviews I was dreading it..Honestly its not that terrible The room was super small but it was clean and had everything we needed.. Receptionist was lovely. And breakfast was very basic but ok .... Your in the heart of Dublin so central to everything .... I would go back but at a better rate,!!",3,Really Not as bad as i thought ,https://www.tripadvisor.com/ShowUserReviews-g186605-d212929-r507208263-Clifton_Court-Dublin_County_Dublin.html,Hillzs
"August 4, 2017","11 Eden Quay, Dublin 1, Ireland"," Clifton Court ",2.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212929-Reviews-Clifton_Court-Dublin_County_Dublin.html,The Clifton is only 100 meters from O'Connell Bridge so you cannot get more central than that. Staff in reception and bar were ok - room was very small but ok - the room rate is good considering the location - we had a bar meal which was also basic but did the job.The hotel is very old and needs major renovation - lift appears to have stopped working many years ago - we were on the third floor and you have to climb a flight of stairs to get to reception so we had four and a half flights of stairs in total with our cases !! Also staircase is narrow - not sure what their emergency procedures would be in event of a fire ??We had a nice river view but after the stair climb you would expect one !!----although windows could do with a wash !!Nicely situated for shopping - Temple Bar - Luas - Bus StationMy wife worked as receptionist in this hotel 45 years ago - the lift worked then - it was owned by the Daly family and was called the Waldorf - we went back for a special occasion and were disappointed. We traveled on the following day to the Park Inn hotel in Belfast city centre - quite a contrast and same price.,3,A night in Dublin,https://www.tripadvisor.com/ShowUserReviews-g186605-d212929-r508668844-Clifton_Court-Dublin_County_Dublin.html,pmcglinn
"July 27, 2017","21-25 Harcourt Street, Dublin, Ireland"," Russell Court Hotel ",3.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212668-Reviews-Russell_Court_Hotel-Dublin_County_Dublin.html,"Worst hotel I have stayed in. There's no AC, holes in the door, holes in bathtub, dirty carpeting and a nightclub in the basement that goes till 4 am. Someone should buy this hotel and make it fabulous. It probably has really good ""bones"" and could be redone as a boutique hotel. The staff on the other hand was VERY KIND when we told them we had to leave due to the noise and the lack of air. Wouldn't recommend this to anyone.",1,AWFUL HOTEL but nice staff!!,https://www.tripadvisor.com/ShowUserReviews-g186605-d212668-r506320012-Russell_Court_Hotel-Dublin_County_Dublin.html,kate m
"July 31, 2017","21-25 Harcourt Street, Dublin, Ireland"," Russell Court Hotel ",3.0,https://www.tripadvisor.com/Hotel_Review-g186605-d212668-Reviews-Russell_Court_Hotel-Dublin_County_Dublin.html,I was aware when i booked this hotel a club was attached. There was no soundproofing for the rooms. I stayed for 3 nights in 2 goes. The last room vibrated with the music. I found both rooms needed work. The rooms where clean and tidy. But i wont be staying here again.,3,Hotel club,https://www.tripadvisor.com/ShowUserReviews-g186605-d212668-r507475342-Russell_Court_Hotel-Dublin_County_Dublin.html,Hoadjie
