,review,sentiment
0,me and my partner stayed here last week i can still feel my head pumping from the noise of the disco throughout the night i did realise on a thursday night i would have been kept awake on the third floor by the disco smallest hotel room i ever stepped foot in only plus for this hotel is reception staff were lovely and more than helpful,0
1,really nice place to stay breakfast was great rooms were clean and comfortable staff was pleasent and helpful they do have a night club there that can be loud check draws for ear plugs overall we enjoyed our stay,1
3,boy did we learn the hard way do your research before booking the only redeeming feature of this hotel is the location close to the city if i could grade this hotel with a or even a i would this is a star hotel with a popular nightclub on site warned about noise after check in even found the hotel provided ear plugs which did work we were provided with twin beds in a claustrophobic hotbox one small window which had to be closed at night to minimise the noise from the nightclub the ensuite was small and had a broken toilet lid and seat in the room there was outdated information regarding meals in reality we found breakfast available everyday lunch only mon friday no evening meals for guests on weekends bar on a saturday not open until for the nightclub no room service no obvious facilities for the nightclub proved to be a nightmare for us with the amount of noise generated and also the noise generated by the staff cleaning up and disposing of glass bottles at around am hotel does not provide parking and after being directed to a car park minutes walk away from the hotel that supposedly gave hotel guests a discounted rate we found that we were charged the normal rate wifi poor inconsistent unreliable the staff came across as indifferent and brusque towards hotel summary grossly overpriced accommodation for the poor accommodation and service it provides we do not recommended this hotel,0
4,got a cheek to call this a hotel an absolute was charged for nights in this hovel how do they get away with this in my opinion per night would be more suitable people take my advice go elsewhere my towel rail in the toilet was a rusty screw on the back of the door and we had lights hanging off the wall above the bed and a tv that went out of style in the s what a dump and in my opinion a death trap if a fire was to break out,0
5,the hotel was very cheap as dublin goes the service left a lot to be desired i stayed twice in june i felt both times with different receptionists that my arrival was an interruption the room was comfortable and clean the bathroom ont eh second occasion needed work,1
8,worst hotel i have stayed in there no ac holes in the door holes in bathtub dirty carpeting and a nightclub in the basement that goes till am someone should buy this hotel and make it fabulous it probably has really good bones and could be redone as a boutique hotel the staff on the other hand was very kind when we told them we had to leave due to the noise and the lack of air would recommend this to anyone,0
10,lovely olde worlde hotel spotlessly clean very nice rooms the decor is amazing could believe how many people were at the nightclub under the hotel on a tuesday evening could of been a pint offers security on door on an evening to stop people from club wandering into hotel great cooked breakfast next morning good choice of continental as well only fault i could pick beware the windows open very very wide be careful if you have children,1
11,stayed one night at a hugely overpriced rate got back to hotel at about midnight got to sleep at about made complaint at about to night manager mark who was very nice it must be said about the noise as was told by the receptionist that it would continue until probably i was aware of the nightclub when i made the booking and was prepared to be awake till around but is ridiculous nowhere on the website does it specify when nightclubs close or when the noise is likely to settle room faced onto the street and the windows are not double glazed the noise from the street coupled with the noise from the nightclub was deafening on checkout i refused to pay the full fee and without even coming to meet me and apologise the manager on duty told the receptionist to give me a discount now while i appreciated the gesture the reduction only brought the charge down to the nightly rate which in my opinion is still overpriced this is a perfect hotel for those who plan to be out all night and only get a little bit of sleep not for anyone who is going to bed,0
12,gorgeous period hotel we were more than pleased with our room really nice fireplace very quirky furniture and the making area was fab up a little flight of stairs its an old hotel and you get exactly what you expect form it the rates were the cheapest i seen in dublin for b b good breakfast excellent choice for the meat eaters i would have liked to had some fried mushrooms as i a vegetarian but otherwise lovely choice of continental too the staff were more than friendly the service is excellent the food and drinks were very cheap in dicey garden bar we were here on an anniversary trip i would not recommend this hotel if you are expecting a good nights sleep or you have kids you wont get it but as for me once my head hits the pillow especially after a few drinks i slept like a baby we had a great time,1
13,hotel is older but clean cozy yet comfortable we were looking for a place to lay out heads this fit the bill price was good you get what you pay for like the big bang theory the elevator does not work but we knew that ahead of time this hotel is in the heart of the temple district with shops bars and numerous restaurants just outside the door we found all forms of transit within simple walking distance staff is friendly no early checkin,0
