,sizeMB,1.0 score,2.0 score,3.0 score,4.0 score,5.0 score,avgReviewNumAHotel,avgScore,maxReviewNumAHotel,minReviewNumAHotel,null score,totalHotels,totalReviews,city
0,434.5,13315,15250,41762,119636,159195,238.5362126246,4.0273507898,3057,1,9839,1505,358997,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/006_statistics_Paris_Tripadvisor.json
1,917,41382,43804,102010,239259,356488,843.3393617021,4.0068916857,12777,1,9796,940,792739,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/008_statistics_London_Tripadvisor.json
2,171.8,3712,5520,16300,49039,65575,293.6342975207,4.1407705424,3455,1,2979,484,142119,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/003_statistics_Barcelona_Tripadvisor.json
3,238.8,9281,9541,25243,65395,82101,590.7125382263,4.0202885039,5391,2,1602,327,193163,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/001_statistics_Amsterdam_Tripadvisor.json
4,92.5,2368,3539,10577,27989,33482,287.3246268657,4.1683636978,3943,1,1835,268,77003,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/002_statistics_Athens_Tripadvisor.json
5,101.1,4414,5904,16122,32296,26688,334.7643979058,5.1211694369,3300,4,915,191,63940,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/018_statistics_Brussels_Tripadvisor.json
6,185.5,6255,7846,19338,50014,74540,1054.2567567568,4.1853443025,5153,1,1558,148,156030,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/012_statistics_Dublin_Tripadvisor.json
7,32.3,792,1494,4703,10767,10232,391.0277777778,3.9838325694,2011,1,166,72,28154,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/014_statistics_Oslo_Tripadvisor.json
8,30.7,1403,2162,5568,10274,5921,404.2063492064,3.6588355465,2640,1,137,63,25465,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/013_statistics_Copenhagen_Tripadvisor.json
9,26,342,929,3532,9461,9007,450.1923076923,4.0895490489,1275,1,139,52,23410,file:///home/yi/Music/Sentiment-Analysis/reviewData/statistics_Tripadvisor/005_statistics_Helsinki_Tripadvisor.json
